s,sk1,sk2,sk3,sk4
3,-4.96688510130461,-4.65722614899142,-3.05659010031117,-4.69227550456918
2.9798,-4.84116606447723,-4.52100762599249,-3.16140975164828,-4.67746817693626
2.9596,-4.77753745865422,-4.41716889852237,-2.8267278284041,-4.82685560872479
2.9394,-4.60220408521312,-4.26777323808921,-3.29700869625068,-4.26144687068169
2.9192,-4.54058027386797,-4.08579336401108,-3.29039384933041,-4.82873887147385
2.899,-4.48480728515644,-4.08923666821871,-2.81668068864111,-4.64616726796529
2.8788,-4.35276413050204,-3.88350245198402,-2.62358621744329,-4.18268155569278
2.8586,-4.30798951808654,-3.78015223262347,-3.15171956851576,-4.23022912703148
2.8384,-4.20364291789887,-3.74125821826008,-2.51328321063346,-4.53665917187245
2.8182,-4.07932460285768,-3.6560155885812,-2.98061260988183,-4.29425511897583
2.798,-3.94697341930614,-3.54695246606941,-2.74097267114494,-4.41312184435529
2.7778,-3.88113398001748,-3.3968722565457,-2.671245646015,-4.30185088236596
2.7576,-3.68634202290966,-3.35417110627801,-2.24148612136876,-4.0295972662471
2.7374,-3.62146817692293,-3.22110809351404,-2.22332389961901,-3.88233507850278
2.7172,-3.49696606358184,-3.14888825404473,-2.54933668559104,-3.98897215439363
2.697,-3.49514692190253,-3.08510287774534,-2.30848840200629,-3.70327602918237
2.6768,-3.40701313021039,-3.01591630950673,-2.1227141057202,-3.50802859235642
2.6566,-3.30646324573629,-2.90520564805686,-1.40234961515678,-3.8029238827152
2.6364,-3.21504541464569,-2.84883974122836,-2.04083330621501,-3.32074165550665
2.6162,-3.07509329014039,-2.76172378380141,-1.95467048581217,-3.60528095134413
2.596,-3.04675581699972,-2.69751741645586,-1.919192689702,-3.55329516438826
2.5758,-2.91085478404781,-2.6114590707798,-1.97908916895662,-3.10832898575702
2.5556,-2.85816870820105,-2.55338017543132,-1.7243537592621,-3.26392731831687
2.5354,-2.77769369644957,-2.48553175215934,-1.59352290955808,-3.18692941259668
2.5152,-2.53987995378948,-2.40687615989871,-1.42281186233849,-3.18376954883042
2.495,-2.61102121007203,-2.34124099368917,-1.64199853524203,-2.54579088532566
2.4748,-2.54454218317175,-2.27770198665215,-1.3299901185735,-2.79714623477006
2.4546,-2.46592183548876,-2.21658716861153,-1.42818561623948,-2.4569134451544
2.4344,-2.28392010999668,-2.15713938444696,-1.2076884532777,-2.39233409096447
2.4142,-2.27217431939808,-2.08237469873268,-1.10436589606411,-2.37565136273727
2.394,-2.25735274359654,-2.03429630933099,-1.15016240570519,-2.30465171385404
2.3738,-2.11169011663907,-1.94587460004772,-1.00643359177882,-2.58760662224531
2.3536,-2.07783508156398,-1.91516000159458,-0.976400169570529,-2.49788576805835
2.3334,-2.02022966779894,-1.85804492863683,-0.867656732719424,-2.17480731646942
2.3132,-1.99236631270683,-1.78715431658112,-0.6403911272785,-2.28640341375307
2.293,-1.93101220933642,-1.74330573969963,-0.751466696223853,-2.10023098999768
2.2728,-1.83630243507674,-1.68407647224672,-0.608784684715636,-2.17139828571958
2.2526,-1.81018419253437,-1.65065062185223,-0.511084944429503,-2.06571472470131
2.2324,-1.75210656901625,-1.56624694058127,-0.502673659854572,-1.99237652176213
2.2122,-1.6739630225257,-1.51904583751023,-0.432231180661929,-1.91388499633713
2.192,-1.65775274190679,-1.46332450354959,-0.433112529350303,-1.85120215602008
2.1718,-1.58762235382536,-1.40367832423151,-0.363710888613286,-1.78405113945513
2.1516,-1.54792705887332,-1.35378279567326,-0.345516347573072,-1.6791479119312
2.1314,-1.48501489404183,-1.31293538357895,-0.264579370199868,-1.68663220148157
2.1112,-1.39588169611706,-1.2393153536133,-0.207077241811665,-1.67939566997602
2.091,-1.37505607528021,-1.18722354726626,-0.181909963589367,-1.61511326327137
2.0708,-1.32024212468674,-1.12674188019919,-0.173353864590982,-1.57212952179132
2.0506,-1.26817333676705,-1.06725605058961,-0.130227403028094,-1.50530340716258
2.0304,-1.20520764035822,-1.02458317903266,-0.048992454537449,-1.45424654972938
2.0102,-1.13948611969152,-0.949467080695382,0.007755754295923,-1.42603601283184
1.99,-1.06343807721251,-0.92913105040711,0.049693138892274,-1.40165865461759
1.9698,-1.03611731645959,-0.858261736985821,0.043073088778913,-1.31762652921276
1.9496,-0.997194927601098,-0.783939687590245,0.132710093912241,-1.28862500827514
1.9294,-0.90934907639821,-0.72322291090324,0.153901805965546,-1.25251090162179
1.9092,-0.880989032734063,-0.708419040026187,0.179155662128151,-1.19639516025989
1.889,-0.802977982489886,-0.619203633466634,0.261954395096625,-1.14196133643059
1.8688,-0.766291215136586,-0.600664908112251,0.271838711570016,-1.07249598667094
1.8486,-0.693644573007048,-0.520711227572878,0.310821516139051,-1.02368830719485
1.8284,-0.670112875211575,-0.461577916590974,0.369782754848856,-1.03109019639794
1.8082,-0.59682449384322,-0.411030388108392,0.442473164901836,-0.930954345269501
1.788,-0.526141118261235,-0.330969445073494,0.458057927494794,-0.917456917674452
1.7678,-0.511215817216572,-0.296471934341133,0.495541750912722,-0.868837141160427
1.7476,-0.462455493848982,-0.223719011834228,0.542425763426269,-0.831546773620752
1.7274,-0.37351158479825,-0.174875594832988,0.598126573250375,-0.749446162597576
1.7072,-0.317847748299757,-0.103201863408285,0.660664909712644,-0.732152995607823
1.687,-0.273218971494871,-0.089001811354847,0.704321035662891,-0.671708830190014
1.6668,-0.225303497846395,-0.036641234122542,0.751482765841547,-0.622769003842575
1.6466,-0.18733808126905,0.04041878074367,0.746578007789056,-0.578089070650296
1.6264,-0.116285383753746,0.074584759627862,0.830028861758437,-0.558411654958602
1.6062,-0.040083054877854,0.129143451255879,0.842002416464257,-0.490250376060414
1.586,0.028600140316359,0.22322373538742,0.913888689271679,-0.450612321229744
1.5658,0.03572354178288,0.254587619472867,0.940137164109306,-0.386246681576062
1.5456,0.106378909942258,0.320654116584648,1.01613097761286,-0.343606941810116
1.5254,0.190287264285851,0.373975912414366,1.04775311096585,-0.304266448294253
1.5052,0.238728691774702,0.435162532590834,1.05028043618132,-0.243097557964748
1.485,0.259515346298925,0.463504362991238,1.09464032616286,-0.179268330207197
1.4648,0.356334734390059,0.518152103948102,1.15610279316227,-0.189652618436046
1.4446,0.396479304139919,0.572912202344318,1.18958845532675,-0.095287703932955
1.4244,0.42281451595939,0.625798927541594,1.24675546387956,-0.060778892094672
1.4042,0.488823053585591,0.685412811981235,1.31753893698534,-0.008525271435027
1.384,0.539755482398705,0.774517164180359,1.33898125175311,0.036818938127023
1.3638,0.573955965274478,0.820549466597684,1.38313195915804,0.098639089898386
1.3436,0.64527161571824,0.905953287764464,1.39711416983586,0.127993587023752
1.3234,0.734011550328098,0.928951283516132,1.48927134111073,0.157163812378957
1.3032,0.767076422013635,0.999581560281844,1.50949076837724,0.185527519291406
1.283,0.845796366259809,1.0463607321906,1.58154008164399,0.283998551572989
1.2628,0.873821345111342,1.09733026670006,1.61751630851679,0.31679348169162
1.2426,0.956824430870669,1.12827557971645,1.61445139094806,0.341934311247031
1.2224,1.00051291538807,1.23431404836543,1.68101172480844,0.427205493339978
1.2022,1.03268176852413,1.27774077319584,1.73629321657404,0.435565050030848
1.182,1.1138679789323,1.34184508434716,1.74862597813462,0.510544628493474
1.1618,1.17856544507758,1.34986083782838,1.82335020548713,0.515768546191782
1.1416,1.18498132244628,1.42491409316371,1.82957605782993,0.56233690509313
1.1214,1.23965312325887,1.50053993804439,1.89488569962785,0.627321634553976
1.1012,1.32472483746727,1.5378407554787,1.95005717750279,0.683289323143582
1.081,1.39826148364989,1.61717159642956,1.96944064955618,0.715436385919674
1.0608,1.43863128373205,1.63919062072337,2.05426650493415,0.800092982694772
1.0406,1.48021127231024,1.7164674582594,2.07454067015071,0.811713034001717
1.0204,1.51064401764621,1.75808498526538,2.12775635545347,0.876876042736695
1.0002,1.59267685068661,1.82892261266615,2.18563326688905,0.934434440955879
